,id,country,title,title_length,category,tag_num,duration,duration_secs,views,likes,dislikes,comment_count
0,xNWaHd8tj2E,GB,Zero Crisis Story Cinematic for Fortnite Chapter 2 Season 6,59,20,11,PT3M14S,194.0,1770435,329314,1869,52499
1,p_4M4TKTydM,GB,KSI – Patience (feat. YUNGBLUD & Polo G) [Official Video],57,10,28,PT3M10S,190.0,1997959,281340,7385,25855
2,vFWv44Z4Jhk,GB,Dua Lipa - Levitating ft. DaBaby / Don't Start Now (Live at the GRAMMYs 2021),77,10,16,PT5M5S,305.0,9792287,633186,10098,24214
3,8h3QNkTo07c,GB,Miniminter Embarrasses KSI,26,22,2,PT1M7S,67.0,104545,18418,38,595
4,EiPorieqCvM,GB,Behzinga's Dumbest Moment,25,22,2,PT57S,57.0,291058,31381,131,1350
5,sMkEWRoPVvY,GB,"*NEW* Fortnite SEASON 6 is EPIC - TRAILER, SKINS + MORE! (Zero Crisis)",70,20,24,PT10M51S,651.0,1583023,63289,1292,6995
6,l469CTQMd9I,GB,The Origin of Fatneek ft. KSI,29,22,2,PT26S,26.0,117356,17713,40,496
7,rsenZGtZ9lM,GB,SURPRISING MY HUSBAND AND CHILDREN WITH A POSITIVE PREGNANCY TEST! VERY EMOTIONAL!!,83,22,16,PT20M11S,1211.0,124268,9165,241,2150
8,aVAKT9UxJMI,GB,Billie Eilish - everything i wanted (Live From The 63rd GRAMMYs®/2021),70,10,9,PT3M40S,220.0,2244250,297570,2106,22085
9,UlIq5gvqOmA,GB,Harry Styles Wins Best Pop Solo Performance | 2021 GRAMMY Awards Show Acceptance Speech,87,10,17,PT2M17S,137.0,2292455,138223,2418,4647
10,bIYkP6aPtn4,GB,Highlights FC Barcelona vs SD Huesca (4-1),42,17,48,PT1M31S,91.0,950215,23898,481,822
11,zNjHov_yrd0,GB,Can I Save The Sidemen's Shots at My Car?,41,24,5,PT9M10S,550.0,1426722,128897,1183,2546
12,mr7GKqt9ysQ,GB,Fortnite Season 6 LEAKS!,24,20,25,PT8M31S,511.0,433630,21415,266,1844
13,9mBWZYKP2ro,GB,Taylor Swift Wins Album Of The Year | 2021 GRAMMY Awards Show Acceptance Speech,79,10,18,PT3M29S,209.0,2723849,134780,7331,9334
14,ojGHE581lsM,GB,Marvel Studios' The Falcon and The Winter Soldier | Final Trailer | Disney+,75,24,19,PT1M59S,119.0,2311199,142940,1141,7775
